threads,elapsed_sec,t_start,t_end,Tseg,Band,fmin,windowtype,channel
16,41.289,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
32,22.621,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
64,15.845,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
128,15.662,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
256,15.572,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
512,15.928,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
15 are able to run your job
