threads,elapsed_sec,t_start,t_end,Tseg,Band,fmin,windowtype,channel
16,38.504,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
32,22.026,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
64,18.331,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
128,17.829,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
256,17.688,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
512,18.021,1257029632,1257033728,8,65.7,61.1,rectangular,H1:GWOSC-4KHZ_R1_STRAIN
34 are able to run your job
